1,23440,6.7525694,-16.71314306,-1.44
2,21936,6.39919184,-52.69571799,-0.62
3,50628,14.2612076,19.18726997,-0.05
4,51926,14.66136068,-60.83514707,-0.01
5,65795,18.61560722,38.78299311,0.03
6,17425,5.27813767,45.99902927,0.08
7,17301,5.24229756,-8.20163919,0.18
8,27267,7.65514946,5.22750767,0.4
9,5297,1.62854213,-57.23666007,0.45
10,19984,5.91952477,7.40703634,0.45
11,49969,14.06373459,-60.3729784,0.61
12,70683,19.84630057,8.86738491,0.76
13,44632,12.44331705,-63.09905586,0.77
14,15108,4.59866679,16.50976164,0.87
15,86179,5.277851341,46.00670859,0.96
16,47773,13.41989015,-11.16124491,0.98
17,58094,16.49012986,-26.43194608,1.06
18,27698,7.75537884,28.02631031,1.16
19,82291,22.96078488,-29.62183701,1.17
20,45767,12.79536635,-59.68873246,1.25
21,74084,20.69053151,45.28033423,1.25
22,51923,14.66094188,-60.83947139,1.35
23,36830,10.13957205,11.96719513,1.36
24,24404,6.9770963,-28.97208931,1.5
25,26923,7.57666793,31.88863645,1.58
26,44890,12.5194248,-57.11256922,1.59
27,61845,17.56014624,-37.10374835,1.62
28,17947,5.41885227,6.34973451,1.64
29,18021,5.43819386,28.60787346,1.65
30,33465,9.22006688,-69.71747245,1.67
31,18686,5.60355904,-1.20191725,1.69
32,79434,22.13718789,-46.96061593,1.73
33,19013,5.67931244,-1.94257841,1.74
34,29352,8.15887648,-47.33661177,1.75
35,46117,12.9004536,55.95984301,1.76
36,11142,3.40537459,49.86124281,1.79
37,64997,18.40287397,-34.3843146,1.79
38,40027,11.06217691,61.75111888,1.81
39,25082,7.13985723,-26.39320776,1.83
40,49038,13.79237392,49.31330288,1.85
41,30188,8.37524019,-59.50953829,1.86
42,62069,17.62197938,-42.99782155,1.86
43,20254,5.99215817,44.94743492,1.9
44,59165,16.81107382,-69.02763503,1.91
45,22916,6.62852842,16.39941482,1.93
46,31663,8.7450548,-54.70856797,1.93
47,73075,20.42745823,-56.73488071,1.94
48,8222,2.52974312,89.26413805,1.97
49,21842,6.37832983,-17.95591658,1.98
50,34371,9.45979217,-8.65868335,1.99
51,6888,2.11952383,23.46277743,2.01
52,37506,10.3328227,19.84186032,2.01
53,2405,0.7264523,-17.9866841,2.04
54,67014,18.92108797,-26.29659428,2.05
55,50118,14.11147907,-36.36869575,2.06
56,495,0.13976888,29.09082805,2.07
57,3816,1.16216599,35.62083048,2.07
58,19506,5.79594109,-9.66960186,2.07
59,52554,14.84510983,74.15547596,2.07
60,81430,22.71109302,-46.88456594,2.07
61,61929,17.58222354,12.56057584,2.08
62,10217,3.13614714,40.9556512,2.09
